seq_id,binary_label,pred_probability
485,0,0.31445596
486,0,0.004123849
487,0,0.00036929766
488,0,0.068210475
489,0,0.020235758
490,0,0.0026350329
491,0,0.0006264936
492,0,0.00027384408
493,0,0.002411332
494,0,0.071724884
495,0,0.0041495585
496,0,0.03248127
497,0,0.0008914817
498,0,0.0042903298
499,0,0.0050359657
500,0,0.17071816
501,0,9.6895155e-06
502,0,5.380249e-06
503,0,0.0027128768
504,0,2.0958598e-05
505,0,3.7875016e-05
506,0,8.354056e-05
507,0,0.0016194454
508,0,0.04715139
509,0,0.009097164
510,0,0.09208156
511,0,6.0293255e-06
512,0,0.00033427222
513,0,7.175057e-05
514,0,0.00020133524
515,0,9.240817e-05
516,0,0.0002798212
517,0,0.00032048492
518,0,0.00020598619
519,0,0.00013409638
520,0,0.000104460865
521,0,0.0003141539
522,0,0.010635523
523,0,0.0009561322
524,0,0.30540127
525,0,0.5775578
526,0,0.008845076
527,0,5.7520567e-05
528,0,1.7896477e-06
529,0,7.27704e-06
530,0,0.03954007
531,0,0.017022347
532,0,0.0041634184
533,0,5.025771e-05
534,0,0.0022737472
535,0,1.2162749e-05
536,0,0.0002812071
537,0,0.0003634842
538,0,0.00064508704
539,0,0.033118226
540,0,0.0012004217
541,0,0.0029579112
542,0,0.00012343023
543,0,1.5532427e-05
544,0,0.0009474173
545,0,0.00065343524
546,0,0.001563936
547,0,0.00010956342
548,0,0.00018750112
549,0,0.0021132987
550,0,0.3263288
551,0,1.9658935e-05
552,0,0.0011352136
553,0,0.0036311704
554,0,0.008078672
555,0,0.004390614
556,0,3.183909e-05
557,0,0.015676506
559,0,0.010121326
560,0,3.0335603e-05
561,0,0.0007526851
562,0,0.046373334
563,0,0.0007723792
564,0,8.287453e-05
565,0,0.09545053
566,0,0.00010562045
567,0,0.0023206607
568,0,0.22597544
569,0,0.00045036967
570,0,0.0006694781
571,0,0.000203331
572,0,0.01374435
573,0,6.225539e-05
574,0,0.000563425
575,0,0.035574324
576,0,0.00010083374
577,0,0.00037773585
578,0,1.0830831e-06
579,0,0.00024211277
580,0,3.0332336e-05
581,0,0.000602105
582,0,9.9820034e-05
583,0,0.00062413176
584,0,2.9000378e-06
585,0,0.00013697063
586,0,0.033251885
587,0,1.4292331e-06
588,0,0.002188615
590,0,0.0017725417
591,0,0.0021158543
593,0,4.707429e-05
594,0,0.07175451
595,0,0.00010497833
596,0,0.0001276026
597,0,0.021999072
598,0,0.000101773854
599,0,3.7554095e-05
600,0,0.00970107
601,0,0.004051468
602,0,0.0021227289
603,0,1.233562e-05
604,0,0.0031580357
605,0,0.00022002152
606,0,0.0029172073
607,0,0.004458881
608,0,0.013733146
609,0,3.4126475e-07
610,0,0.00014041972
611,0,0.00074130704
612,0,3.0598694e-05
613,0,8.9804875e-05
614,0,0.0038844508
615,0,0.00032420305
