fold,seq_id,binary_label,pred_probability
1,1111,0,0.5006833462729522
1,1116,0,0.5013319973620955
1,1131,0,0.5004172930505033
1,1140,0,0.5014580918463994
1,1143,0,0.500204153525532
1,1150,0,0.5001065243806193
1,1152,0,0.5006561095020644
1,1160,0,0.5013505486460829
1,1170,0,0.5005615614305605
1,1182,0,0.5006005137228355
1,1185,0,0.501775341845022
1,1187,0,0.5000950928629109
1,1189,0,0.5005440345098633
1,1198,0,0.5024891288711606
1,1201,0,0.5002180716856861
1,1205,0,0.5020236123093039
1,1206,0,0.5008300344185709
1,1208,0,0.5002398831127268
1,1209,0,0.5001047696288983
1,1210,0,0.500628733833232
1,1211,0,0.50038524928264
1,1214,0,0.5008388077350572
1,1222,0,0.5002552852696989
1,1224,0,0.5034891089554154
1,1226,0,0.5045219804835658
1,1227,0,0.5015613173097339
1,1228,0,0.515355860060524
1,1232,0,0.5030874109481186
1,1234,0,0.5014168671878225
1,1236,0,0.5001286218976859
1,1237,0,0.5052807677766028
1,1253,0,0.5014401252163398
1,1254,0,0.5005255794745957
1,1259,0,0.5004565977580651
1,1261,0,0.5011400034428923
1,1265,0,0.5001313544888426
1,1266,0,0.5010052741495233
1,1268,0,0.500300524244478
1,1270,0,0.5006070576577495
1,1295,0,0.5002746399726465
1,1298,0,0.5001185616669331
1,1300,0,0.5000806645486774
1,1304,0,0.5001990862357544
1,1309,0,0.5001387731761147
1,1314,0,0.5029931471864977
1,1317,0,0.5005261862630882
1,1335,0,0.5001265819301184
1,1337,0,0.5075954868825877
1,1343,0,0.5006689891368259
1,1352,0,0.5007244680648795
1,1358,0,0.5031980194829215
1,1361,0,0.5000806645486774
1,1363,0,0.5000806645486774
1,1364,0,0.5001507531640745
1,1376,0,0.5008139970452041
1,1382,0,0.5007856856620374
1,1388,0,0.5001583596441154
1,1394,0,0.5001059168650095
1,1398,0,0.5015531684002383
1,1399,0,0.5034320015752297
1,1412,0,0.501376907019235
1,1416,0,0.5001621516755268
1,1418,0,0.5003792409302933
1,1421,0,0.5003378508324122
1,1424,0,0.5002713992651879
1,1428,0,0.5001585726185013
1,1434,0,0.5008231200500017
1,1436,0,0.5032956108557634
1,1452,0,0.5002350720514933
1,1453,0,0.500855112308505
1,1458,0,0.5002281755209209
1,1460,0,0.5000806645486774
1,1479,0,0.5001043398842463
1,1484,0,0.5004798757171115
1,1485,0,0.5000806645486774
1,1491,0,0.5006241190030999
1,1503,0,0.5016355717939969
1,1506,0,0.5001075201517174
1,1507,0,0.5037742227461032
1,1508,0,0.5005007488398437
1,1512,0,0.5003522245624766
1,1514,0,0.5004410607581538
1,1517,0,0.5003335626979125
1,1524,0,0.5006838381495807
1,1533,0,0.5002764377030465
1,1538,0,0.5025888002256189
1,1543,0,0.5072132523305483
1,1546,0,0.5001546346818226
1,1554,0,0.5000947539490451
1,1566,0,0.5054202157804757
1,1568,0,0.5016825728086768
1,1569,0,0.500554071333481
1,1571,0,0.5074653069246503
1,1574,0,0.5002888021415801
1,1575,0,0.5002143666328238
1,1577,0,0.5002388735840355
1,1578,0,0.5018595866475729
1,1582,0,0.5004750398209239
1,1587,0,0.5000920649948206
1,1589,0,0.5016677405650601
1,1590,0,0.5005351877702854
1,1591,0,0.5003862794605966
1,1598,0,0.5005219335729133
1,1599,0,0.5002442553743214
1,1601,0,0.500407536349101
1,1612,0,0.503588307610118
1,1617,0,0.5092999620275114
1,1620,0,0.5010388901585952
1,1623,0,0.5006481570067252
1,1635,0,0.5001220247359657
1,1636,0,0.5087030982807637
1,1637,0,0.5003500099016301
1,1648,0,0.5003078188311546
1,1650,0,0.5002925273646774
1,1652,0,0.5002275834376059
1,1654,0,0.5001505790027997
1,1661,0,0.5009984806749913
1,1662,0,0.5005576139490014
1,1663,0,0.5069952184564009
1,1664,0,0.5001902734307402
1,1665,0,0.5018231399311478
1,1666,0,0.5007930946305469
1,1669,0,0.5083436929081862
1,1673,0,0.5009433478272902
1,1679,0,0.5003185647833714
1,1683,0,0.501924779579109
1,1701,0,0.5004696860704344
1,1706,0,0.501483477274691
1,1708,0,0.5009330065548034
1,1710,0,0.5052564108411218
1,1713,0,0.500519722343123
1,1718,0,0.5002222637677328
1,1720,0,0.5000909150886893
1,1721,0,0.5001505163930723
1,1723,0,0.5001396911146543
1,1728,0,0.5001293005354667
1,1735,0,0.5000806645486774
1,1743,0,0.5002284962817034
1,1747,0,0.5012450497606192
1,1751,0,0.500094067820211
1,1757,0,0.5003417537102152
1,1758,0,0.5001147142871591
1,1759,0,0.5030146026297582
1,1760,0,0.5029838875551881
1,1761,0,0.5001650576749406
1,1784,0,0.5093245943990166
1,1787,0,0.5052467438901681
1,1815,0,0.5028465306996103
1,1818,0,0.5005538759051605
1,1822,0,0.5003224312348742
1,1825,0,0.5043958486203245
1,1826,0,0.5000806645486774
1,1828,0,0.500446688154299
1,1833,0,0.5005298321056894
1,1834,0,0.500468662423603
1,1836,0,0.5035403047361988
1,1839,0,0.5005645045037106
1,1840,0,0.5005812064392322
1,1841,0,0.5001919892867949
1,1843,0,0.501797167731059
1,1844,0,0.5003091697458651
1,1846,0,0.5005470386777937
