seqid,ref_seqid,edit_distance,similarity,length,exp
FS10000169:122:BPA73120-0622:1:1102:13790:1180,004685,83,0.44666666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:13990:1160,010246,79,0.4733333333333334,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:6900:1410,001448,78,0.48,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:14450:1340,005345,81,0.45999999999999996,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:1990:1330,005299,84,0.43999999999999995,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:11190:1330,004097,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:5750:1440,001007,79,0.4733333333333334,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:13230:1540,011205,80,0.4666666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:16350:1540,003475,84,0.43999999999999995,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:12950:1450,002925,78,0.48,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:9510:1600,000758,82,0.45333333333333337,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:14430:1570,002528,83,0.44666666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:16450:1640,001288,68,0.5466666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:7370:1720,002334,82,0.45333333333333337,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:12130:1780,009935,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:5880:1870,004579,72,0.52,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:6860:1870,000519,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:15490:1810,004904,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:7010:1990,006728,72,0.52,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:7720:1980,002925,71,0.5266666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:11660:1910,008632,80,0.4666666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:15980:1910,006264,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:1670:2070,000188,85,0.43333333333333335,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:12370:2070,010290,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:11670:2010,008998,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:16210:2210,005954,72,0.52,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:10540:2000,001235,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:10590:2240,009354,83,0.44666666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:8660:2300,001130,55,0.4907407407407407,106,PCR1
FS10000169:122:BPA73120-0622:1:1102:10290:2190,004008,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:15150:2270,009477,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:10050:2260,000487,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:5780:2570,008143,69,0.54,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:7970:2690,011561,78,0.48,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:15680:2660,002925,94,0.3733333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:8660:2740,000637,70,0.5333333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:16270:2800,008144,78,0.48,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:10030:2940,002632,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:11270:3060,001633,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:7310:3230,005852,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:15770:3090,001503,53,0.5546218487394958,119,PCR1
FS10000169:122:BPA73120-0622:1:1102:8780:3180,010380,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:6680:3210,011604,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:13420:3210,004250,78,0.48,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:9830:3380,004008,70,0.5333333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:7620:3380,011014,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:12220:3440,004097,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:1540:3520,003761,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:9590:3620,001007,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:4270:3610,002527,79,0.4733333333333334,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:15150:3720,002315,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:1090:3730,002484,68,0.5466666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:12190:3820,009935,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:9950:3760,007444,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:11850:3800,006995,68,0.5466666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:12850:3910,006134,78,0.48,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:7440:3920,008702,50,0.537037037037037,108,PCR1
FS10000169:122:BPA73120-0622:1:1102:10670:4080,000541,72,0.52,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:7900:4030,001973,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:14210:1020,001377,72,0.52,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:9440:1020,002133,70,0.5333333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:14350:4040,009817,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:7840:1000,009273,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1102:7290:4090,000312,79,0.4733333333333334,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:2090:1150,002484,70,0.5333333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:9520:1210,003351,69,0.54,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:11640:1240,008581,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:15710:1130,000073,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:5410:1300,006494,55,0.5378151260504201,119,PCR1
FS10000169:122:BPA73120-0622:1:1103:6830:1410,010045,58,0.5126050420168067,119,PCR1
FS10000169:122:BPA73120-0622:1:1103:13190:1440,002572,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:2700:1460,003568,72,0.52,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:6560:1540,003321,82,0.45333333333333337,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:1450:1550,001130,53,0.5092592592592593,107,PCR1
FS10000169:122:BPA73120-0622:1:1103:7110:1690,001635,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:6280:1700,001850,56,0.5333333333333333,120,PCR1
FS10000169:122:BPA73120-0622:1:1103:13960:1630,005399,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:15260:1640,005147,56,0.5294117647058824,119,PCR1
FS10000169:122:BPA73120-0622:1:1103:6370:1650,001346,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:10890:1810,001075,98,0.3466666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:13050:1810,010246,69,0.54,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:16000:1810,004464,53,0.5508474576271186,118,PCR1
FS10000169:122:BPA73120-0622:1:1103:5670:1760,004008,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:1790:1900,001910,61,0.4873949579831933,119,PCR1
FS10000169:122:BPA73120-0622:1:1103:15710:1740,007996,80,0.4666666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:3480:1750,008265,78,0.48,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:10890:1880,000890,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:5480:1860,011026,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:2200:1850,010133,50,0.537037037037037,85,PCR1
FS10000169:122:BPA73120-0622:1:1103:10630:1830,004934,80,0.4666666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:11560:1950,003351,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:6950:1960,000063,71,0.5266666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:3230:2120,001005,78,0.48,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:14790:2170,008058,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:14160:2200,009937,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:2260:2280,002726,79,0.4733333333333334,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:16430:2360,000073,71,0.5266666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:7390:2250,003761,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:16330:2320,003733,78,0.48,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:15520:2400,011535,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:12340:2470,000552,60,0.48275862068965514,116,PCR1
FS10000169:122:BPA73120-0622:1:1103:12290:2480,001940,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:3310:2590,005734,71,0.5266666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:16040:2480,009477,71,0.5266666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:6890:2710,000819,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:12890:2710,010495,70,0.5333333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:7810:2690,003131,78,0.48,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:10400:2610,002315,80,0.4666666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:6130:2660,000167,97,0.10185185185185186,11,PCR1
FS10000169:122:BPA73120-0622:1:1103:14460:2890,011487,56,0.5213675213675213,117,PCR1
FS10000169:122:BPA73120-0622:1:1103:1540:2950,004997,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:10410:3040,001522,84,0.43999999999999995,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:12070:3030,007915,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:6640:3000,002091,81,0.45999999999999996,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:9430:3000,001173,81,0.45999999999999996,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:12910:3130,004899,72,0.52,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:9090:3190,005572,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:7860:3260,003064,71,0.5266666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:3000:3160,000519,57,0.5210084033613445,119,PCR1
FS10000169:122:BPA73120-0622:1:1103:8350:3300,004137,79,0.4733333333333334,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:3310:3240,000587,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:7910:3380,005277,80,0.4666666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:10920:3360,009935,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:2060:3330,007753,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:11100:3330,003863,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:1680:3290,002491,79,0.4733333333333334,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:12290:3440,008650,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:2010:3320,001940,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:11030:3320,000687,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:10490:3450,009018,78,0.48,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:5080:3390,004822,57,0.5210084033613445,119,PCR1
FS10000169:122:BPA73120-0622:1:1103:9980:3510,004602,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:7700:3580,008120,55,0.5338983050847458,118,PCR1
FS10000169:122:BPA73120-0622:1:1103:4120:3600,008984,63,0.475,120,PCR1
FS10000169:122:BPA73120-0622:1:1103:11660:3690,004934,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:5360:3780,003300,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:10370:3790,002389,77,0.4866666666666667,150,PCR1
