Text,X,Temperature,X,Acquisitions
3:11,191.08,53.93,,
3:11,191.5,53.97,,
3:11,191.91,53.93,,
3:12,192.32,53.97,,
3:12,192.74,53.97,,
3:13,193.15,53.97,,
3:13,193.56,53.93,,
3:13,193.97,53.93,,
3:14,194.39,53.93,,
3:14,194.8,53.97,,
3:15,195.21,53.97,,
3:15,195.62,53.93,,
3:16,196.04,53.97,,
3:16,196.45,53.97,,
3:16,196.86,53.93,,
3:17,197.27,53.97,,
3:17,197.69,53.97,,
3:18,198.1,53.97,,
3:18,198.51,53.97,,
3:18,198.92,53.93,,
3:19,199.34,53.97,,
3:19,199.75,53.97,,
3:20,200.16,53.93,,
3:20,200.58,53.97,,
3:20,200.99,53.97,,
3:21,201.4,53.93,,
3:21,201.81,53.97,,
3:22,202.22,53.93,,
3:22,202.64,53.97,,
3:23,203.05,53.93,,
3:23,203.46,53.97,,
3:23,203.87,53.97,,
3:24,204.29,53.93,,
3:24,204.7,53.93,,
3:25,205.11,53.97,,
3:25,205.52,53.97,,
3:25,205.93,53.93,,
3:26,206.35,53.97,,
3:26,206.76,53.93,,
3:27,207.17,53.93,,
3:27,207.59,53.97,,
3:28,208,53.97,,
3:28,208.41,53.93,,
3:28,208.82,53.97,,
3:29,209.24,53.97,,
3:29,209.65,53.97,,
3:30,210.06,53.93,,
3:30,210.48,53.97,,
3:30,210.89,53.93,,
3:31,211.3,53.93,,
3:31,211.71,53.97,,
3:32,212.12,53.93,,
3:32,212.54,53.97,,
3:32,212.95,53.97,,
3:33,213.36,53.97,,
3:33,213.77,53.93,,
3:34,214.19,53.97,,
3:34,214.6,53.97,,
3:35,215.01,53.97,,
3:35,215.42,53.97,,
3:35,215.84,53.93,,
3:36,216.25,53.97,,
3:36,216.66,53.97,,
3:37,217.08,53.93,,
3:37,217.49,53.97,,
3:37,217.9,53.97,,
3:38,218.31,53.97,,
3:38,218.73,53.97,,
3:39,219.14,53.93,,
3:39,219.55,53.97,,
3:39,219.96,53.93,,
3:40,220.38,53.93,,
3:40,220.79,53.97,,
3:41,221.2,53.93,,
3:41,221.61,53.97,,
3:42,222.02,53.97,,
3:42,222.44,53.93,,
3:42,222.85,53.93,,
3:43,223.26,53.93,,
3:43,223.68,53.97,,
3:44,224.09,53.97,,
3:44,224.5,53.97,,
3:44,224.91,53.97,,
3:45,225.33,53.93,,
3:45,225.74,53.97,,
3:46,226.15,53.97,,
3:46,226.56,53.93,,
3:46,226.98,53.97,,
3:47,227.39,53.97,,
3:47,227.8,53.93,,
3:48,228.22,53.97,,
3:48,228.63,53.97,,
3:49,229.04,53.93,,
3:49,229.45,53.93,,
3:49,229.87,53.97,,
3:50,230.28,53.97,,
3:50,230.69,53.97,,
3:51,231.1,53.97,,
3:51,231.52,53.93,,
3:51,231.93,53.97,,
3:52,232.34,53.97,,
3:52,232.75,53.93,,
3:53,233.17,53.93,,
3:53,233.58,53.93,,
3:53,233.99,54.13,,
3:54,234.4,55.26,,
3:54,234.82,56.98,,
3:55,235.23,58.93,,
3:55,235.64,60.87,,
3:56,236.05,62.77,,
3:56,236.47,64.63,,
3:56,236.88,66.93,,
3:57,237.29,68.75,,
3:57,237.7,70.54,,
3:58,238.12,72.34,,
3:58,238.53,74.17,,
3:58,238.94,75.97,,
3:59,239.35,77.77,,
3:59,239.77,79.58,,
4:00,240.18,81.86,,
4:00,240.59,83.65,,
4:01,241,85.4,,
4:01,241.41,87.18,,
4:01,241.83,88.99,,
4:02,242.24,90.79,,
4:02,242.65,92.55,,
4:03,243.06,94.31,,
4:03,243.48,96.48,,
4:03,243.89,98.19,,
4:04,244.3,99.76,,
4:04,244.72,100.7,,
4:05,245.13,100.59,,
4:05,245.54,99.93,,
4:05,245.95,99,,
4:06,246.37,98.02,,
4:06,246.78,96.64,,
4:07,247.19,95.68,,
4:07,247.61,95.19,,
4:08,248.02,94.89,,
4:08,248.43,94.83,,
4:08,248.84,94.83,,
4:09,249.26,94.86,,
4:09,249.67,94.89,,
4:10,250.08,94.93,,
4:10,250.49,94.93,,
4:10,250.91,94.96,,
4:11,251.32,94.96,,
4:11,251.73,94.96,,
4:12,252.14,94.93,,
4:12,252.56,94.54,,
4:12,252.97,93.7,,
4:13,253.38,92.43,,
4:13,253.79,91.37,,
4:14,254.21,90.28,,
4:14,254.62,89.24,,
4:15,255.03,88.18,,
4:15,255.44,87.21,,
4:15,255.85,86.27,,
4:16,256.27,85.37,,
4:16,256.68,84.27,,
4:17,257.09,83.4,,
4:17,257.5,82.51,,
4:17,257.92,81.66,,
4:18,258.33,80.81,,
4:18,258.74,79.96,,
4:19,259.15,79.11,,
4:19,259.57,78.26,,
4:19,259.98,77.19,,
4:20,260.39,76.32,,
4:20,260.81,75.49,,
4:21,261.22,74.61,,
4:21,261.63,73.74,,
4:22,262.04,72.89,,
4:22,262.46,72.03,,
4:22,262.87,71.18,,
4:23,263.28,70.1,,
4:23,263.69,69.23,,
4:24,264.11,68.38,,
4:24,264.52,67.49,,
4:24,264.93,66.63,,
4:25,265.35,65.75,,
4:25,265.76,65.38,,
4:26,266.17,65.81,,
4:26,266.58,66.81,,
4:26,266.99,67.76,,
4:27,267.41,68.72,,
4:27,267.82,69.52,,
4:28,268.23,69.79,,
4:28,268.64,69.79,,
4:29,269.06,69.69,,
4:29,269.47,69.6,,
4:29,269.88,69.49,,
4:30,270.29,69.43,,
4:30,270.71,69.46,,
4:31,271.12,69.46,,
4:31,271.53,69.46,,
4:31,271.94,69.49,,
4:32,272.36,69.52,,
4:32,272.77,69.55,,
4:33,273.18,69.58,,
4:33,273.59,69.58,,
4:34,274.01,69.6,,
4:34,274.42,69.63,,
4:34,274.83,69.63,,
4:35,275.25,69.66,,
4:35,275.66,69.66,,
4:36,276.07,69.69,,
4:36,276.48,69.69,,
4:36,276.9,69.7,,
4:37,277.31,69.7,,
4:37,277.72,69.73,,
4:38,278.13,69.73,,
4:38,278.55,69.76,,
4:38,278.96,69.76,,
4:39,279.37,69.76,,
4:39,279.78,69.79,,
4:40,280.19,69.79,,
4:40,280.61,69.79,,
4:41,281.02,69.79,,
4:41,281.43,69.79,,
4:41,281.84,69.81,,
4:42,282.26,69.81,,
4:42,282.67,69.81,,
4:43,283.08,69.81,,
4:43,283.49,69.84,,
4:43,283.91,69.84,,
4:44,284.32,69.84,,
