seq_id,PCR1,PCR2
000590,182,455
000591,678,217
000592,203,0
000593,164,29
000594,324,207
000595,467,740
000596,571,1524
000597,259,0
000598,519,359
000599,468,20
000600,512,267
000601,269,202
000602,715,576
000603,418,252
000604,276,106
000605,299,5
000606,310,501
000607,1060,877
000608,674,492
000609,234,0
000610,397,192
000611,181,147
000612,1802,352
000613,982,738
000614,251,3
000615,802,390
000616,429,12
000617,315,211
000618,214,10
000619,659,162
000620,317,50
000621,231,0
000622,315,0
000623,1114,2716
000624,420,28
000625,460,326
000626,325,2
000627,288,198
000628,719,194
000629,311,603
000630,359,159
000631,289,0
000632,403,256
000633,656,283
000634,688,2
000635,697,1124
000636,283,108
000637,177,58
000638,233,333
000639,1044,1233
000640,702,961
000641,309,807
000642,1164,1344
000643,471,211
000644,710,538
000645,176,14
000646,292,86
000647,466,374
000648,310,10
000649,611,891
000650,192,19
000651,266,168
000652,316,239
000653,288,333
000654,414,561
000655,243,183
000656,214,72
000657,281,1010
000658,1401,677
000659,221,69
000660,726,1438
000661,188,10
000662,449,913
000663,388,373
000664,599,851
000665,201,2
000666,589,633
000667,244,0
000668,445,386
000669,743,208
000670,238,73
000671,338,199
000672,519,983
000673,406,167
000674,237,2
000675,303,280
000676,394,222
000677,945,903
000678,685,1623
000679,242,535
000680,222,80
000681,244,4
000682,329,329
000683,73,0
000684,486,400
000685,364,727
000686,136,443
000687,989,1603
000688,1043,311
000689,367,203
000690,615,494
000691,222,248
000692,842,1341
000693,449,311
000694,176,2
000695,197,2
000696,551,14
000697,162,2
000698,505,278
000699,661,243
000700,203,410
000701,391,2533
000702,324,111
000703,227,16
000704,276,10
000705,434,976
000706,159,768
000707,366,1141
000708,134,259
000709,413,92
000710,317,184
000711,387,185
000712,498,269
000713,77,16
000714,254,176
000715,241,24
000716,335,0
000717,226,29
000718,233,0
000719,725,889
000720,144,0
000721,259,525
000722,478,421
000723,519,390
000724,975,35
000725,153,13
000726,434,139
000727,1235,99
000728,219,68
000729,122,76
000730,273,532
000731,289,8
000732,194,19
000733,368,391
000734,466,16
000735,112,11
000736,362,305
000737,464,230
000738,158,1
000739,697,746
000740,311,990
000741,206,0
000742,248,202
000743,505,526
000744,511,144
000745,290,2
000746,675,170
000747,216,6
000748,427,192
000749,272,924
000750,246,1037
000751,592,159
000752,599,636
000753,315,353
000754,749,0
000755,510,2562
000756,425,858
000757,234,39
000758,212,74
000759,1043,365
000760,294,285
000761,415,390
000762,466,691
000763,583,454
000764,457,233
000765,372,656
000766,272,520
000767,440,105
000768,973,2788
000769,649,88
000770,282,0
000771,510,91
000772,281,375
000773,182,311
000774,200,477
000775,156,0
000776,247,533
000777,436,300
000778,227,122
000779,370,385
000780,928,300
000781,677,743
000782,408,762
000783,942,383
000784,330,737
000785,397,361
000786,532,395
000787,338,0
000788,415,0
000789,608,28
000790,470,344
000791,721,547
000792,207,714
000793,630,243
000794,429,18
000795,910,562
000796,506,116
000797,541,354
000798,498,2
000799,302,0
000800,816,234
000801,688,654
000802,469,409
000803,307,7
000804,392,702
000805,483,294
000806,866,1364
000807,276,306
000808,252,200
000809,261,17
000810,404,217
000811,280,1028
000812,221,349
000813,335,10
000814,300,131
000815,731,492
000816,218,314
000817,386,126
000818,216,176
000819,162,2
000820,284,58
000821,628,2
000822,300,3
000823,356,218
000824,312,260
000825,221,137
000826,646,654
000827,329,195
000828,170,9
000829,217,408
000830,402,14
000831,324,2
000832,199,361
000833,349,245
000834,136,19
000835,550,691
000836,456,2
000837,243,11
000838,360,127
000839,523,1014
000840,742,896
000841,351,45
000842,519,486
000843,388,2
000844,249,0
000845,717,1188
000846,360,520
000847,712,1581
000848,452,508
000849,503,317
000850,395,572
000851,504,60
000852,184,99
000853,401,0
000854,427,805
000855,270,792
000856,201,137
000857,601,215
000858,286,168
000859,320,65
000860,609,1570
000861,313,0
000862,156,213
000863,571,916
000864,91,724
000865,646,393
000866,1077,271
000867,301,0
000868,358,388
000869,154,0
000870,1104,1199
000871,178,2
000872,429,618
000873,486,361
000874,490,389
000875,473,294
000876,393,44
000877,445,15
000878,114,121
000879,181,767
000880,358,402
000881,306,525
000882,1023,172
000883,524,70
000884,331,251
000885,433,190
000886,352,51
000887,326,0
000888,694,4
000889,545,0
000890,449,224
000891,149,16
000892,300,9
000893,710,262
000894,302,298
000895,559,252
000896,334,299
000897,186,0
000898,283,167
000899,204,118
000900,390,668
000901,232,3
000902,175,108
000903,282,95
000904,315,254
000905,317,143
000906,546,499
000907,351,199
000908,384,561
000909,453,43
000910,251,288
000911,452,0
000912,315,0
000913,354,787
000914,362,180
000915,377,1146
000916,284,451
000917,237,16
000918,215,913
000919,369,0
000920,148,457
000921,505,563
000922,511,476
000923,363,71
000924,786,1563
000925,436,1168
000926,264,175
000927,309,79
000928,318,0
000929,1436,1389
000930,248,116
000931,428,213
000932,153,8
000933,258,11
000934,218,73
000935,212,294
000936,516,1193
000937,569,624
000938,318,250
000939,302,78
000940,332,530
000941,391,385
000942,181,199
000943,168,567
000944,143,2
000945,544,180
000946,732,170
000947,409,242
000948,201,387
000949,466,386
000950,648,48
000951,453,16
000952,210,130
000953,483,212
000954,408,400
000955,209,201
000956,243,18
000957,805,478
000958,536,444
000959,242,241
000960,187,105
000961,206,110
000962,446,158
000963,444,545
000964,218,52
000965,959,750
000966,206,133
000967,470,1168
000968,599,103
000969,235,591
000970,480,478
000971,296,0
000972,265,711
000973,234,69
000974,540,492
000975,432,701
000976,346,204
000977,373,94
000978,381,315
000979,1079,812
000980,193,3
000981,944,2270
