seq_id,true_efficiency,binary_label,pred_efficiency,pred_probability
,0.9990967,0,0.971192,0.29662242081745305
1,0.997321,0,0.9707459,0.5425154422394534
2,0.99263746,0,0.97122455,0.27868313838875014
3,1.0038823,0,0.97094893,0.43060848994611645
4,1.0043266,0,0.97118723,0.2992508871073728
5,1.0016279,0,0.97091115,0.4514390852937311
6,0.9991153,0,0.9706627,0.5883821789985544
7,1.0062816,0,0.97119236,0.29642528584570904
8,1.0056506,0,0.9709401,0.43547115258246816
9,0.99915916,0,0.97087586,0.47088973583913785
10,1.0052557,0,0.97114503,0.3225128137731633
11,1.0124146,0,0.970989,0.40852937311078985
12,0.997322,0,0.9711095,0.34209488763306606
13,1.007283,0,0.97085905,0.48015507951110525
14,0.9970826,0,0.97070205,0.5666973321067157
15,0.9983577,0,0.9712404,0.26994348797476675
16,0.9944549,0,0.970958,0.42561440399526873
17,0.9987302,0,0.9710541,0.37265080825338415
18,1.002481,0,0.97055674,0.6467998422920226
19,0.9987992,0,0.9711199,0.33637797345249043
20,0.9970547,0,0.97063947,0.6011959521619135
21,1.0025133,0,0.9705293,0.6619135234590616
22,0.99897295,0,0.9708873,0.4645814167433303
23,1.0077842,0,0.97075,0.5402812458930214
25,1.0046415,0,0.9708965,0.4595216191352346
26,1.0048883,0,0.97090816,0.45308187672493105
27,1.004183,0,0.9710369,0.38211328689709556
28,1.0001585,0,0.97129524,0.23971612564068867
29,1.004682,0,0.9708375,0.4920488894729925
30,1.0004171,0,0.9709463,0.4320541464055724
31,1.0042282,0,0.9709103,0.4518990668944671
32,0.99801445,0,0.97103,0.38592456301747935
33,1.0025082,0,0.97087777,0.4698383493231699
34,0.99645627,0,0.9707552,0.5373899329741096
35,1.0053005,0,0.9708264,0.49816007359705616
36,0.9997657,0,0.9704323,0.7154028124589302
37,0.9953323,0,0.97075593,0.5369956630306216
38,1.0044444,0,0.97078526,0.5208305953476147
39,0.9982788,0,0.97094893,0.43060848994611645
40,1.0005465,0,0.97077155,0.5283874359311342
41,0.9972117,0,0.9708055,0.5096596136154554
42,1.0056444,0,0.9707978,0.5139308713365751
43,0.9810093,0,0.97089696,0.4592587725062426
44,0.9994775,0,0.97081137,0.5064397424103035
45,1.0003964,0,0.9713371,0.21665133394664216
46,0.99617743,0,0.9707018,0.5668287554212117
47,0.9970823,0,0.971141,0.32474701011959517
48,1.0043455,0,0.9709414,0.43474832435274013
49,1.0051888,0,0.9708425,0.48928899986857666
50,0.9959832,0,0.9709319,0.44000525693257986
51,0.9965561,0,0.9710313,0.3852017347877513
52,0.9992885,0,0.97080517,0.5098567485871994
53,0.996361,0,0.9710523,0.37363648311210407
54,1.0024271,0,0.9709387,0.43625969246944407
55,0.99869174,0,0.9708352,0.49329741096070445
57,1.0068705,0,0.9706025,0.6215665659087922
58,1.0066459,0,0.9710568,0.3711394401366802
59,1.0045152,0,0.97098136,0.41273491917466154
60,0.9982249,0,0.9707432,0.5440268103561572
61,0.99787354,0,0.9710293,0.38631883296096725
62,1.0023391,0,0.97066295,0.5882507556840584
63,1.0011867,0,0.97110367,0.34531475883821794
64,0.9993286,0,0.97098935,0.40833223813904584
65,0.99554074,0,0.97090125,0.45689315284531473
66,0.99932295,0,0.97095656,0.42640294388224476
67,1.0025737,0,0.9707655,0.5317387304507819
68,1.001772,0,0.97058916,0.6289262715205677
69,1.0040303,0,0.97098994,0.40800367985280583
71,1.00356,0,0.97118497,0.3004994085950847
72,1.0032543,0,0.9708477,0.4863976869496649
73,1.0072038,0,0.97091556,0.44900775397555526
74,1.0020864,0,0.9707123,0.5610461295833882
75,1.0064619,0,0.9708142,0.5048626626363517
76,0.99572283,0,0.9706788,0.579511105270075
77,0.9984806,0,0.9709581,0.42554869233802073
78,0.9977758,0,0.9710326,0.3844789065580234
79,1.0017356,0,0.97126365,0.25712971481140756
80,1.0022557,0,0.9710431,0.3786962807201998
81,1.0020936,0,0.970901,0.45702457615981074
82,0.99580604,0,0.97112226,0.3350637403075306
83,1.000556,0,0.9710684,0.3647654093836247
84,1.006043,0,0.97120094,0.29169404652385333
85,0.99985427,0,0.9711745,0.30628203443290836
86,0.9989037,0,0.9710232,0.389670127480615
87,1.004081,0,0.9710437,0.3783677224339598
88,1.0062581,0,0.97110784,0.3430148508345381
89,1.002223,0,0.9708011,0.5120909449336313
90,0.99931145,0,0.9706646,0.5873307924825864
91,1.0027233,0,0.9703646,0.7527270337757919
92,0.9986503,0,0.9704261,0.718819818635826
93,1.0044816,0,0.9705287,0.6622420817453016
94,0.99600697,0,0.9707681,0.5302930739913261
95,0.9988716,0,0.97115624,0.3163359179918518
96,1.0017215,0,0.9709606,0.4241687475358129
97,0.9992791,0,0.9708048,0.5100538835589434
98,1.0058684,0,0.97062373,0.609869890918649
99,1.0012949,0,0.97083163,0.4952687606781443
100,1.0050008,0,0.9710325,0.3845446182152714
101,0.99672276,0,0.97113144,0.3300039426994349
102,1.0011512,0,0.9708359,0.49290314101721644
103,1.0015388,0,0.970628,0.6075042712577211
104,0.9963906,0,0.97107685,0.36009988171901697
105,0.99844706,0,0.97110415,0.34505191220922593
106,1.0078379,0,0.9702027,0.84196346431857
107,0.9995159,0,0.9708129,0.5055854908660796
108,1.0011243,0,0.97088814,0.4641214351425943
109,0.99625975,0,0.97101784,0.3926271520567749
110,1.0011845,0,0.97087824,0.4695755026941779
111,1.003794,0,0.9710672,0.3654225259561046
112,1.0085336,0,0.9707897,0.5183992640294388
113,0.9965275,0,0.97066,0.5898935471152582
114,1.0083299,0,0.9706639,0.5877250624260744
115,0.9997231,0,0.9712455,0.2671178867131029
116,0.99637926,0,0.9708439,0.48850045998160074
117,1.0068827,0,0.9711832,0.30148508345380476
118,1.0023557,0,0.9705703,0.6393087133657511
119,1.0001208,0,0.9710388,0.38106190038112764
120,1.0007367,0,0.97123516,0.2728348008936785
121,1.0046514,0,0.9712751,0.2508213957155999
122,1.0032104,0,0.97089744,0.4589959258772506
124,1.0024829,0,0.9708507,0.48475489551846496
125,1.0013933,0,0.9705101,0.672493100275989
126,0.999965,0,0.9707031,0.5661059271914838
127,1.0097172,0,0.97113335,0.32895255618346697
128,1.0078332,0,0.9710784,0.35924563017479305
129,1.0018916,0,0.9706782,0.5798396635563149
130,0.9950357,0,0.9706607,0.5894992771717702
131,1.0087106,0,0.9702369,0.8231042186883953
132,1.0086755,0,0.9712769,0.24983572085688
133,1.0065981,0,0.9709457,0.4323827046918123
134,1.0053064,0,0.9707494,0.5406098041792614
135,1.0026069,0,0.9708183,0.5026284662899199
136,0.99836934,0,0.97072697,0.5529635957418846
137,0.99398243,0,0.9708582,0.48061506111184127
138,0.9963762,0,0.9712391,0.27066631620449466
139,1.0001831,0,0.9710766,0.36023130503351297
140,0.99716747,0,0.9709877,0.40925220134051776
141,1.0042892,0,0.9709774,0.4149034038638455
142,1.0030009,0,0.9710158,0.3937442502299908
143,1.0049182,0,0.97041214,0.7265080825338415
144,1.0032318,0,0.9709954,0.40498094361939807
145,0.9972682,0,0.97084975,0.485280588776449
146,1.0024393,0,0.9706806,0.578525430411355
147,1.0005496,0,0.9708723,0.4728610855565777
148,0.9873569,0,0.97058046,0.6337232224996714
149,1.0001978,0,0.97037435,0.7473386778814561
150,1.0050906,0,0.9702984,0.7891970035484295
151,1.0066658,0,0.9708024,0.5113681167039033
152,1.0003529,0,0.970804,0.5105138651596793
153,1.0077373,0,0.97095644,0.42646865553949276
154,1.0015435,0,0.9707972,0.5142594296228151
155,0.9950458,0,0.9704912,0.6829412537784203
156,1.0030707,0,0.97065115,0.5947562097516099
157,1.0031095,0,0.97104704,0.37652779603101594
158,1.0016586,0,0.9712155,0.28367722433959786
159,1.0009931,0,0.9704846,0.6865553949270601
160,0.99427474,0,0.9705682,0.6404915231962149
161,0.99765015,0,0.9707395,0.546063871730845
162,0.9992809,0,0.97049904,0.6786042844000526
163,0.99967813,0,0.97097087,0.41851754501248517
164,0.9949694,0,0.97080815,0.5082139571559995
165,1.0039473,0,0.9706799,0.578919700354843
166,0.9810586,0,0.9704646,0.6975949533447234
167,1.0004427,0,0.97053075,0.6611249835720857
168,1.0010816,0,0.97075474,0.5376527796031016
169,1.0030998,0,0.9707979,0.5138651596793271
170,1.0024465,0,0.9711666,0.31061900381127616
171,0.99531686,0,0.97102714,0.3875016427914312
172,1.0012809,0,0.97112644,0.33276383230385065
173,1.0034077,0,0.970878,0.4697069260086739
174,1.0068128,0,0.97057223,0.6382573268497831
175,1.0003172,0,0.9706905,0.5730713628597713
176,0.9941412,0,0.9706137,0.6153896701274806
177,0.9984698,0,0.97054017,0.6559337626494941
178,0.9974624,0,0.97105086,0.37442502299908
179,1.0034127,0,0.97075605,0.5369299513733736
180,1.0031974,0,0.97073793,0.5469181232750691
181,1.0009055,0,0.97094715,0.43159416480483637
182,1.0054811,0,0.97094536,0.4325798396635563
183,0.9937324,0,0.97080445,0.5102510185306873
184,0.98701495,0,0.97078633,0.5202391904323826
185,1.0013111,0,0.9708694,0.4744381653305296
186,0.997648,0,0.97066545,0.5868708108818504
187,1.0003259,0,0.97072005,0.5567748718622684
188,1.0021546,0,0.9708321,0.4950059140491523
189,0.99939257,0,0.97108984,0.3529373110789854
190,1.0038735,0,0.9712975,0.23846760415297674
191,0.9987025,0,0.9710275,0.38730450781968717
192,1.0017315,0,0.97142637,0.16743330266789325
193,0.99956113,0,0.9707819,0.5226705217505585
194,1.0058327,0,0.9710746,0.3613484032067289
195,1.0033495,0,0.97095835,0.4254172690235247
196,0.9987101,0,0.97116375,0.312196083585228
197,1.003302,0,0.97082615,0.49829149691155206
199,0.9996264,0,0.97088945,0.4633986069128664
200,0.9986677,0,0.97082484,0.4990143251412801
201,1.0015036,0,0.97078276,0.5222105401498226
202,0.9950739,0,0.9706826,0.577408332238139
203,0.9970946,0,0.9710735,0.3619398081219608
204,0.9994812,0,0.97102904,0.38645025627546326
205,0.99824333,0,0.9706558,0.5921934551189381
206,0.9990444,0,0.9704921,0.6824155605204363
207,1.0017315,0,0.97087765,0.4699040609804179
208,1.0057693,0,0.97107136,0.36312261795242473
209,0.9970775,0,0.97114027,0.3251412800630832
210,1.0001042,0,0.97071886,0.5574319884347483
211,1.0041674,0,0.9708228,0.500131423314496
212,0.9971181,0,0.97092164,0.4456564594559075
213,0.99495935,0,0.97100365,0.40044683926928637
214,0.9992975,0,0.97112525,0.33342094887633067
215,0.9921342,0,0.9706465,0.5973189643842818
216,0.996635,0,0.97066844,0.5852280194506505
217,1.0000778,0,0.9711442,0.32297279537389934
218,1.0039119,0,0.9709785,0.4143119989486135
219,1.0052122,0,0.9707829,0.5221448284925746
220,0.9999569,0,0.97086585,0.47640951504796947
221,1.0058569,0,0.9707588,0.5354185832566698
222,1.0017145,0,0.97098243,0.41214351425942963
