seq_id,true_efficiency,binary_label,pred_efficiency,pred_probability,fold
729,0.99821246,0,0.99985623,0.5313648188376646,1
732,1.0041926,0,0.9997056,0.565250623541717,1
735,1.004164,0,1.0007154,0.3380802960817443,1
736,1.000278,0,1.0000716,0.4829028884061469,1
743,1.0005559,0,0.99952054,0.6068871188349827,1
744,0.99298745,0,1.0000917,0.47839729664494324,1
755,0.99693,0,0.9997629,0.552364094724703,1
758,0.9993362,0,1.0001446,0.46648966127604796,1
762,0.9952061,0,0.99955237,0.5997264462144983,1
763,1.0044318,0,0.9991648,0.6869150105935045,1
769,0.990552,0,0.99969137,0.5684554938718589,1
776,1.0040907,0,1.0004935,0.387990452436506,1
778,1.0061113,0,0.99898314,0.7277871644272803,1
781,1.0010184,0,0.9994085,0.6320969774988602,1
788,1.0018926,0,0.99989295,0.523104567275458,1
790,1.0024434,0,0.9996553,0.5765682409418833,1
795,1.0041305,0,0.9999404,0.5124306058411778,1
799,0.9977152,0,0.9996054,0.5877919918470245,1
805,1.0075947,0,0.99994755,0.5108214659264623,1
808,0.9984673,0,0.9997798,0.5485557969265428,1
809,0.990729,0,1.0003024,0.43098130715799077,1
812,1.0034838,0,0.9995973,0.5896156837503688,1
813,1.0033953,0,0.9991584,0.6883632365167485,1
815,1.004771,0,0.99916416,0.6870625150856867,1
816,1.0042255,0,0.99978435,0.5475366749805562,1
817,1.0018005,0,0.9992875,0.6593182610561321,1
820,1.0028232,0,1.0012333,0.2215517472577574,1
823,1.0014325,0,0.99965453,0.576742564432644,1
825,0.9993234,0,0.99927354,0.6624560838898276,1
829,1.0064152,0,0.99965477,0.5766889264354869,1
834,1.0081668,0,0.99923396,0.6713599914179205,1
838,1.0045506,0,0.9992832,0.6602837450049615,1
840,1.0043195,0,0.9997301,0.559739319333816,1
844,1.0008758,0,0.9997467,0.5560114785313917,1
856,1.0026025,0,0.9994015,0.6336658889157079,1
869,1.0040789,0,0.9997221,0.5615361922385818,1
870,1.0038872,0,0.9996402,0.5799608442620753,1
871,1.0043635,0,1.0003235,0.42623434440957975,1
879,0.9976206,0,1.0002509,0.44256711454394293,1
881,1.0073384,0,0.99937344,0.6399817630809665,1
883,1.0082445,0,1.0005463,0.3761096360661893,1
891,1.0001217,0,0.9997025,0.5659479175047604,1
892,1.0071875,0,0.9993462,0.6461099042561751,1
901,1.002589,0,0.9998723,0.5277442540295545,1
906,1.0039002,0,1.0000281,0.4926918228873334,1
911,0.9988184,0,1.0005385,0.3778796899723764,1
912,0.99738437,0,0.99969894,0.5667524874621181,1
916,1.00077,0,0.9990779,0.7064660605572988,1
918,1.0035205,0,0.99979484,0.54517660310564,1
920,0.9978948,0,0.9992163,0.6753292032075522,1
925,1.003039,0,0.9996458,0.5787003513288813,1
931,1.0069375,0,1.0001647,0.4619572505162657,1
943,0.9959628,0,0.999148,0.690696489393086,1
960,0.99432904,0,1.0000417,0.4896344570493738,1
966,0.9967943,0,0.9993789,0.6387480891463513,1
968,0.9951692,0,0.99956685,0.5964679378871993,1
971,0.9936771,0,1.0008451,0.3089012256282351,1
977,1.0056379,0,0.9994879,0.6142355244455172,1
979,1.0021777,0,0.9994852,0.6148389519135355,1
985,0.9957547,0,0.9995518,0.5998605412073913,1
987,0.9965981,0,1.0000525,0.48722074717730035,1
990,1.0000027,0,1.0000132,0.4960441977096576,1
995,1.0061904,0,1.0003141,0.42835304529728857,1
996,1.0002244,0,1.0002844,0.43503097594335827,1
998,1.0027266,0,1.0003761,0.41440716603642025,1
1007,1.0024908,0,0.99958783,0.5917477941373669,1
1009,1.0050685,0,0.9993876,0.636790302250114,1
1012,1.0061073,0,0.999817,0.5401882693700217,1
1015,1.0060617,0,0.99952894,0.6049963794351919,1
1041,1.0015699,0,1.0001051,0.47536674980556226,1
1046,0.99924344,0,1.0006214,0.35921366696167567,1
1050,0.9997228,0,0.9996611,0.5752675195108214,1
1052,1.0023358,0,1.0002699,0.4383028937699466,1
1053,0.99927163,0,0.9989867,0.7269825944699224,1
1057,1.0054312,0,0.99942124,0.6292273446509508,1
1061,1.0030591,0,1.0002873,0.43438731997747204,1
1071,1.0035465,0,1.0004487,0.39807439590205707,1
1073,1.0018218,0,1.0003834,0.412771207123126,1
1074,1.0029881,0,0.9997928,0.545632526081476,1
1075,0.9965769,0,0.9984802,0.8409365194303644,1
1079,0.9990751,0,0.9991199,0.697025773057634,1
1086,0.99426544,0,1.0006475,0.35334030627296376,1
